Date,Close,Open,High,Low,Vol.,Change %
6/21/2024,60.61,59.92,60.74,59.67,18.87M,1.35%
6/20/2024,59.8,59.25,59.99,58.79,12.87M,1.15%
6/18/2024,59.12,59.92,60.1,59.04,13.42M,-1.68%
6/17/2024,60.13,60.37,60.64,59.48,13.56M,-0.83%
6/14/2024,60.63,61.29,61.64,60.31,10.37M,-1.47%
6/13/2024,61.54,63.12,63.63,61.52,11.99M,-2.98%
6/12/2024,63.43,65.46,65.86,62.9,14.14M,-2.07%
6/11/2024,64.77,67.13,67.15,64.4,15.11M,-3.46%
6/10/2024,67.09,66.97,67.49,65.8,11.98M,-0.31%
6/7/2024,67.3,66.5,68.3,66.2,13.19M,0.42%
6/6/2024,67.02,64.29,67.82,64.17,22.07M,5.49%
6/5/2024,63.53,63.76,63.81,62.85,8.85M,0.32%
6/4/2024,63.33,63.14,64.13,63.03,9.05M,-0.20%
6/3/2024,63.46,63.04,63.52,62.58,9.04M,0.75%
5/31/2024,62.99,62.73,63.56,61.77,14.27M,0.77%
5/30/2024,62.51,62.77,63.34,62.13,11.87M,2.39%
5/29/2024,61.05,61.23,61.59,60.85,8.14M,-1.80%
5/28/2024,62.17,62.3,62.87,61.75,11.16M,0.86%
5/24/2024,61.64,61.95,62.06,61.27,8.18M,0.10%
5/23/2024,61.58,62.54,62.69,61.22,10.53M,-0.98%
5/22/2024,62.19,63.79,63.91,61.85,14.53M,-2.98%
5/21/2024,64.1,64.39,64.69,63.7,6.58M,-1.03%
5/20/2024,64.77,64.53,65.04,63.77,6.43M,0.45%
5/17/2024,64.48,64.08,64.71,63.85,8.20M,0.59%
5/16/2024,64.1,63.59,64.43,63.42,8.11M,0.31%
5/15/2024,63.9,65.11,65.53,63.48,10.97M,-1.05%
5/14/2024,64.58,64.39,64.86,64.27,7.56M,0.99%
5/13/2024,63.95,63.44,64.43,63.19,7.31M,1.62%
5/10/2024,62.93,64.59,64.94,62.88,8.75M,-2.36%
5/9/2024,64.45,63.87,64.47,63.41,8.37M,1.00%
5/8/2024,63.81,65.46,65.7,63.77,11.18M,-3.20%
5/7/2024,65.92,66.08,66.77,65.77,9.23M,0.47%
5/6/2024,65.61,66,66.1,64.95,11.26M,-0.14%
5/3/2024,65.7,67.64,67.89,64.72,15.44M,-1.91%
5/2/2024,66.98,66.7,67.44,65.83,14.48M,1.27%
5/1/2024,66.14,67,67.8,65.49,17.97M,-2.62%
4/30/2024,67.92,70,70.66,67.22,43.90M,1.39%
4/29/2024,66.99,66,67.55,66,19.14M,1.56%
4/26/2024,65.96,64.13,66.3,63.75,14.20M,2.90%
4/25/2024,64.1,63.47,64.4,62.95,11.71M,-1.14%
4/24/2024,64.84,64.11,65.09,64.02,8.19M,0.64%
4/23/2024,64.43,63.38,64.7,63.2,9.91M,1.96%
